index,name,position,active_from,active_to,college,college_start_year,college_end_year,url,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,draft_pick,draft_team,draft_year,C-G,C-MP,C-FG,C-FGA,C-3P,C-3PA,C-FT,C-FTA,C-ORB,C-TRB,C-AST,C-STL,C-BLK,C-TOV,C-PF,C-PTS,C-FG%,C-3P%,C-FT%
0,Álex Abrines,G-F,2017,2019,,,,https://www.basketball-reference.com/players/a/abrinal01.html,174,16,16.0,1.8,4.5,.387,1.3,3.4,.368,0.5,1.1,.443,.525,0.5,0.6,.880,0.3,1.1,1.4,0.5,0.5,0.1,0.4,1.7,5.3,"2nd round (2nd pick, 32nd overall)",Oklahoma City Thunder,2013 NBA Draft,,,,,,,,,,,,,,,,,,,
1,Precious Achiuwa,F,2021,2022,Memphis,2019-20,,https://www.basketball-reference.com/players/a/achiupr01.html,134,32,18.4,2.9,6.2,.468,0.4,1.2,.357,2.5,5.0,.494,.502,1.0,1.8,.556,1.6,3.4,5.1,0.8,0.4,0.5,0.9,1.8,7.2,"1st round (20th pick, 20th overall)",Miami Heat,2020 NBA Draft,31,30.4,182,369,13,40,112,187,93,10.8,1.0,34,58,87,73,15.8,.493,.325,.599
2,Quincy Acy,F-C,2013,2019,Baylor,2008-09,2011-12,https://www.basketball-reference.com/players/a/acyqu01.html,337,60,16.0,1.7,3.9,.444,0.5,1.6,.350,1.2,2.3,.506,.513,0.9,1.1,.759,0.9,2.6,3.5,0.6,0.4,0.4,0.6,2.0,4.9,"2nd round (7th pick, 37th overall)",Toronto Raptors,2012 NBA Draft,139,27.9,503,835,3,7,351,496,251,6.0,0.6,102,177,214,280,9.8,.602,.429,.708
3,Jaylen Adams,G,2019,2021,St. Bonaventure,2014-15,2017-18,https://www.basketball-reference.com/players/a/adamsja01.html,41,1,10.9,1.0,2.9,.331,0.6,1.9,.329,0.3,1.0,.333,.436,0.2,0.2,.778,0.3,1.3,1.5,1.6,0.3,0.1,0.7,1.1,2.7,Undrafted,Undrafted,Undrafted,110,36.3,532,1246,270,685,578,690,59,3.4,5.4,170,22,314,291,17.4,.427,.394,.838
4,Jordan Adams,G,2015,2016,UCLA,2012-13,2013-14,https://www.basketball-reference.com/players/a/adamsjo01.html,32,0,8.2,1.2,2.9,.402,0.3,0.8,.385,0.8,2.1,.409,.457,0.5,0.9,.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2,"1st round (22nd pick, 22nd overall)",Memphis Grizzlies,2014 NBA Draft,69,30.2,373,798,98,296,287,342,88,4.6,2.1,168,17,94,147,16.4,.467,.331,.839
5,Steven Adams,C,2014,2022,Pittsburgh,2012-13,,https://www.basketball-reference.com/players/a/adamsst01.html,664,599,26.8,3.8,6.6,.587,0.0,0.0,.071,3.8,6.5,.588,.587,1.6,2.9,.547,3.6,4.4,8.0,1.5,0.9,0.9,1.4,2.5,9.3,"1st round (12th pick, 12th overall)",Oklahoma City Thunder,2013 NBA Draft,32,23.4,100,175,0,0,31,70,90,6.3,0.6,21,65,35,52,7.2,.571,,.443
6,Bam Adebayo,C-F,2018,2022,Kentucky,2016-17,,https://www.basketball-reference.com/players/a/adebaba01.html,343,239,28.2,5.1,9.2,.558,0.0,0.1,.140,5.1,9.0,.565,.559,3.2,4.3,.741,2.2,6.2,8.3,3.5,1.0,0.9,2.1,2.4,13.5,"1st round (14th pick, 14th overall)",Miami Heat,2017 NBA Draft,38,30.1,170,284,0,0,154,236,118,8.0,0.8,26,57,64,99,13.0,.599,,.653
7,Deng Adel,F,2019,2019,Louisville,2015-16,2017-18,https://www.basketball-reference.com/players/a/adelde01.html,19,3,10.2,0.6,1.9,.306,0.3,1.2,.261,0.3,0.7,.385,.389,0.2,0.2,1.000,0.2,0.8,1.0,0.3,0.1,0.2,0.3,0.7,1.7,Undrafted,Undrafted,Undrafted,89,26.8,350,799,101,290,197,254,55,4.1,2.0,47,24,148,133,11.2,.438,.348,.776
8,Jeff Adrien,F,2011,2015,UConn,2005-06,2008-09,https://www.basketball-reference.com/players/a/adrieje01.html,153,17,14.0,1.7,3.6,.474,0.0,0.0,.000,1.7,3.6,.476,.474,1.2,1.9,.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6,Undrafted,Undrafted,Undrafted,133,,602,1169,2,6,397,655,,8.5,1.1,78,152,154,,12.1,.515,.333,.606
9,Josh Akognon,G,2013,2013,"Washington State, Cal State Fullerton",2004-05,2008-09,https://www.basketball-reference.com/players/a/akognjo01.html,3,0,3.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,Undrafted,Undrafted,Undrafted,119,,597,1462,335,900,276,317,,2.6,1.3,104,13,139,,15.2,.408,.372,.871
10,DeVaughn Akoon-Purcell,G,2019,2019,Illinois State,2014-15,2015-16,https://www.basketball-reference.com/players/a/akoonde01.html,7,0,3.1,0.4,1.4,.300,0.0,0.6,.000,0.4,0.9,.500,.300,0.1,0.3,.500,0.1,0.4,0.6,0.9,0.3,0.0,0.3,0.6,1.0,Undrafted,Undrafted,Undrafted,60,27.2,275,642,49,163,209,283,101,5.3,1.6,58,18,140,114,13.5,.428,.301,.739
11,Solomon Alabi,C,2011,2012,Florida State,2007-08,2009-10,https://www.basketball-reference.com/players/a/alabiso01.html,26,0,7.0,0.6,2.0,.314,0.0,0.0,,0.6,2.0,.314,.314,0.3,0.4,.700,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5,"2nd round (20th pick, 50th overall)",Dallas Mavericks,2010 NBA Draft,77,25.6,270,506,0,1,164,220,79,5.4,0.4,39,159,128,75,9.1,.534,.000,.745
12,Santi Aldama,F,2022,2022,Loyola (MD),2019-20,2020-21,https://www.basketball-reference.com/players/a/aldamsa01.html,32,0,11.3,1.7,4.1,.402,0.2,1.5,.125,1.5,2.6,.560,.424,0.6,1.0,.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,"1st round (30th pick, 30th overall)",Utah Jazz,2021 NBA Draft,27,33.3,196,396,45,147,76,119,46,9.2,2.2,26,46,78,55,19.0,.495,.306,.639
13,Furkan Aldemir,F-C,2015,2015,,,,https://www.basketball-reference.com/players/a/aldemfu01.html,41,9,13.2,1.0,1.9,.513,0.0,0.1,.000,1.0,1.8,.548,.513,0.3,0.7,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,"2nd round (23rd pick, 53rd overall)",Los Angeles Clippers,2012 NBA Draft,,,,,,,,,,,,,,,,,,,
